'one': [19238, 49] 
'shall': [15645, 49] 
'said': [13392, 49] 
'man': [13338, 49] 
'upon': [12840, 49] 
'would': [12745, 49] 
'may': [11626, 49] 
'thou': [11169, 40] 
'unto': [9914, 29] 
'men': [9883, 49] 
'lord': [9522, 44] 
'god': [9496, 46] 
'great': [9184, 49] 
'us': [8743, 49] 
'good': [8511, 48] 
'thy': [8445, 34] 
'people': [7631, 49] 
'even': [7448, 49] 
'must': [7327, 49] 
'made': [7304, 49] 
'time': [7219, 49] 
'thee': [7154, 33] 
'much': [7104, 49] 
'things': [6920, 49] 
'every': [6819, 49] 
'could': [6775, 49] 
'without': [6772, 49] 
'say': [6531, 49] 
'make': [6361, 49] 
'first': [6346, 49] 
'come': [6178, 49] 
'many': [6035, 49] 
'two': [5955, 49] 
'therefore': [5954, 49] 
'like': [5855, 49] 
'also': [5831, 44] 
'let': [5808, 48] 
'yet': [5806, 49] 
'life': [5750, 49] 
'though': [5696, 48] 
'see': [5679, 49] 
'well': [5582, 49] 
'another': [5496, 49] 
'': [5349, 45] 
'know': [5166, 48] 
'might': [5048, 49] 
'part': [4998, 49] 
'son': [4816, 45] 
'go': [4767, 48] 
'came': [4600, 48] 
'ye': [4576, 31] 
'give': [4569, 49] 
'take': [4555, 49] 
'thus': [4549, 49] 
'nature': [4546, 48] 
'state': [4541, 49] 
'way': [4524, 49] 
'power': [4480, 49] 
'king': [4467, 43] 
'never': [4440, 49] 
'day': [4424, 47] 
'hand': [4222, 49] 
'nothing': [4124, 49] 
'house': [3988, 45] 
'little': [3944, 49] 
'place': [3874, 49] 
'world': [3849, 49] 
'still': [3844, 49] 
'whole': [3768, 48] 
'cannot': [3679, 49] 
'love': [3621, 49] 
'land': [3584, 42] 
'hath': [3557, 28] 
'country': [3528, 48] 
'reason': [3527, 49] 
'always': [3504, 46] 
'right': [3462, 49] 
'long': [3459, 49] 
'either': [3451, 46] 
'away': [3426, 49] 
'among': [3377, 47] 
'law': [3357, 47] 
'went': [3334, 46] 
'others': [3327, 48] 
'children': [3314, 48] 
'thing': [3293, 47] 
'gods': [3222, 37] 
'ever': [3175, 49] 
'death': [3153, 49] 
'put': [3142, 49] 
'far': [3115, 49] 
'new': [3114, 49] 
'body': [3056, 47] 
'name': [3032, 48] 
'father': [3020, 43] 
'mind': [2959, 48] 
'called': [2955, 44] 
'neither': [2947, 48] 
'less': [2942, 49] 
'true': [2936, 49] 
'found': [2928, 49] 
'earth': [2916, 46] 
'common': [2914, 48] 
'thought': [2896, 48] 
'done': [2887, 49] 
'old': [2884, 48] 
'think': [2878, 48] 
'heart': [2829, 47] 
'find': [2785, 49] 
'government': [2775, 35] 
'different': [2742, 41] 
'words': [2740, 49] 
'better': [2739, 48] 
'present': [2735, 49] 
'certain': [2730, 49] 
'greater': [2724, 47] 
'eyes': [2706, 48] 
'end': [2694, 49] 
'israel': [2672, 11] 
'whether': [2652, 48] 
'saying': [2650, 44] 
'however': [2646, 41] 
'according': [2642, 45] 
'soul': [2637, 48] 
'whose': [2593, 48] 
'three': [2583, 47] 
'order': [2561, 49] 
'given': [2548, 47] 
'set': [2529, 49] 
'ought': [2510, 42] 
'brought': [2501, 48] 
